FL 7,female,50,4,5,5,5,5,4,4,no,False,7,291.13848519325256
FL 7,female,50,5,5,5,5,5,5,5,no,True,7,194.52866172790527
MO76,female,45,4,4,4,4,4,3,3,no,False,14,700.5903661251068
MO76,female,45,4,4,4,4,4,3,3,no,True,15,483.5387213230133
